RK,NAME,POS,GP,FGM,FGA,FG%,LNG,1/19,20-29,30-39,40-49,50+,XPM,XPA,XP%
1,Justin TuckerBAL,PK,1/17,2/6,2/12,3/26,2/27,0-0,13-13,11/11,4/5,9/14,1/31,2/1,4/5
2,Jason MyersSEA,PK,1/17,2/3,2/6,3/31,2/25,0-0,9/9,15-16,4/6,6/6,2/10,2/11,4/6
2,Daniel CarlsonLV,PK,1/17,2/3,2/6,3/31,2/26,0-0,9/9,11/11,3/4,11/13,2/4,2/5,4/6
4,Eddy PineiroCAR,PK,1/17,2/2,2/4,4/3,2/23,0-0,2/2,16-17,13-14,2/2,1/30,2/1,4/2
5,Nick FolkNE,PK,1/17,2/1,2/6,3/26,2/23,1/1,9/9,8/8,10/14,4/5,2/1,2/4,3/31
5,Younghoe KooATL,PK,1/17,2/1,2/6,3/26,2/23,0-0,9/9,7/7,9/10,7/11,2/2,2/4,4/3
7,Ryan SuccopTB,PK,1/17,1/31,2/7,3/21,2/23,0-0,10/11,7/8,12/12,2/7,1/24,1/25,4/5
8,Greg ZuerleinNYJ,PK,1/17,1/30,2/6,3/21,2/29,0-0,5/5,10/10,9/11,6/11,1/28,1/29,4/5
8,Chase McLaughlinIND,PK,1/16,1/30,2/5,3/23,2/23,0-0,7/7,5/6,9/11,9/12,1/21,1/21,4/9
8,Riley PattersonJAX,PK,1/17,1/30,2/4,3/25,2/22,0-0,8/8,10/11,10/13,2/3,2/5,2/6,4/6
11,Graham GanoNYG,PK,1/17,1/29,2/1,3/30,2/26,0-0,2/2,9/10,10/11,8/9,2/1,2/3,4/3
11,Brett MaherDAL,PK,1/17,1/29,2/1,3/30,2/29,0-0,9/9,5/5,6/7,9/11,2/19,2/22,4/3
11,Ka'imi FairbairnHOU,PK,1/17,1/29,1/31,4/2,2/25,0-0,7/7,7/8,9/10,6/6,1/24,1/24,4/9
14,Brandon McManusDEN,PK,1/17,1/28,2/5,3/17,2/24,0-0,6/7,4/6,10/10,8/13,1/25,1/27,4/1
14,Matt GayLAR,PK,1/17,1/28,1/30,4/2,2/27,0-0,9/9,8/8,4/4,7/9,1/31,2/1,4/5
16,Robbie GouldSF,PK,1/17,1/27,2/1,3/24,2/20,0-0,13-14,5/5,7/11,2/2,2/19,2/20,4/7
16,Tyler BassBUF,PK,1/16,1/27,1/31,3/27,2/25,0-0,4/4,11/13,10/11,2/3,2/17,2/19,4/5
18,Jason SandersMIA,PK,1/17,1/26,2/1,3/21,2/24,0-0,5/6,7/7,12/13,2/6,2/10,2/13,4/2
18,Greg JosephMIN,PK,1/17,1/26,2/2,3/18,3/1,0-0,10/10,5/5,7/8,4/10,2/9,2/15,3/27
20,Mason CrosbyGB,PK,1/17,1/25,1/29,3/26,2/25,0-0,10/10,8/8,6/7,1/4,2/6,2/8,4/3
20,Joey SlyeWSH,PK,1/17,1/25,1/30,3/23,2/27,1/1,8/8,4/5,8/10,4/6,1/24,1/28,3/25
22,Michael BadgleyCHI/DET,PK,1/13,1/24,1/28,3/25,2/22,0-0,6/7,7/7,9/11,2/3,2/2,2/2,4/9
22,Evan McPhersonCIN,PK,1/16,1/24,1/29,3/22,2/28,1/1,5/6,4/4,9/13,5/5,2/9,2/13,3/30
22,Cade YorkCLE,PK,1/17,1/24,2/1,3/15,2/27,0-0,5/5,9/12,6/8,4/7,2/4,2/6,4/3
25,Wil LutzNO,PK,1/17,1/23,1/31,3/14,2/29,0-0,6/6,9/11,4/8,4/6,2/2,2/2,4/9
26,Matt PraterARI,PK,1/13,1/22,1/25,3/28,2/26,0-0,1/1,10/10,6/8,5/6,1/17,1/18,4/3
27,Cairo SantosCHI,PK,1/16,1/21,1/23,3/31,2/20,0-0,4/4,7/7,6/7,4/5,1/27,2/1,3/24
27,Cameron DickerLAC/PHI,PK,1/11,1/21,1/22,4/4,2/17,0-0,7/7,7/7,7/7,0-1,1/24,1/24,4/9
29,Chris BoswellPIT,PK,1/12,1/20,1/28,3/11,2/28,0-0,4/4,4/5,5/10,7/9,1/18,1/18,4/9
29,Jake ElliottPHI,PK,1/16,1/20,1/23,3/27,2/25,0-0,6/6,8/9,1/2,5/6,2/20,2/22,4/5
31,Harrison ButkerKC,PK,1/13,1/18,1/24,3/15,3/2,0-0,7/7,4/5,4/5,3/7,2/7,2/10,4/1
32,Randy BullockTEN,PK,1/15,1/17,1/20,3/25,2/20,0-0,5/5,5/5,6/8,1/2,1/28,1/28,4/9
33,Matthew WrightKC,PK,1/6,1/15,1/18,3/23,2/28,0-0,1/1,6/7,6/8,2/2,1/15,1/15,4/9
34,Dustin HopkinsLAC,PK,1/5,1/9,1/10,3/30,2/12,0-0,2/2,6/6,1/2,0-0,1/12,1/12,4/9
35,Matt AmmendolaGB,PK,1/4,1/5,1/7,3/11,1/31,1/1,3/3,1/2,0-1,0-0,1/5,1/7,3/11
36,Rodrigo BlankenshipIND/ARI,PK,1/3,1/4,1/5,3/20,2/19,0-0,2/2,0-0,1/2,1/1,1/4,1/5,3/20
37,Taylor BertoletLAC,PK,1/2,1/3,1/3,4/9,1/28,0-0,3/3,0-0,0-0,0-0,1/6,1/6,4/9
37,Austin SeibertDET,PK,1/3,1/3,1/5,2/29,2/17,0-0,0-0,1/1,2/3,0-1,1/12,1/12,4/9
37,Caleb ShudakTEN,PK,1/1,1/3,1/4,3/15,2/7,0-0,1/1,2/3,0-0,0-0,1/1,1/1,4/9
40,Tristan VizcainoARI/NE,PK,1/3,1/2,1/2,4/9,2/15,0-0,0-0,1/1,1/1,0-0,1/3,1/3,4/9
40,Nick ScibaPIT,PK,1/1,1/2,1/2,4/9,2/7,0-0,1/1,1/1,0-0,0-0,1/1,1/1,4/9
42,Dominik EberleDET,PK,1/1,1/1,1/1,4/9,2/18,0-0,0-0,0-0,1/1,0-0,1/2,1/4,2/19
43,Thomas MorsteadMIA,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Johnny HekkerCAR,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Sam MartinBUF,P,1/16,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Tress WayWSH,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Riley DixonLAR,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Bradley PinionATL,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Josh LamboTEN,PK,1/1,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/3,1/4,3/15
43,Logan CookeJAX,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,JK ScottLAC,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Jack FoxDET,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Michael DicksonSEA,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Jake BaileyNE,P,1/9,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Justin ReidKC,S,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/1,1/2,2/19
43,Jamie GillanNYG,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Braden MannNYJ,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Mitch WishnowskySF,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/1,1/2,2/19
43,Corey BojorquezCLE,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Trenton GillCHI,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Eno BenjaminARI/HOU/NO,RB,1/15,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Ryan StonehouseTEN,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Ramiz AhmedGB,PK,1/1,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Arryn SipossPHI,P,1/13,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
43,Jake CamardaTB,P,1/17,1/0,1/0,1/0,1/0,0-0,0-0,0-0,0-0,0-0,1/0,1/0,1/0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,