RK,NAME,,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Team
1,Patrick MahomesKC,,QB,17,435,648,67.1,"5,250",8.1,308.8,67,41,12,26,188,77.6,105.2,
2,Justin HerbertLAC,,QB,17,477,699,68.2,"4,739",6.8,278.8,55,25,10,38,206,58.2,93.2,
3,Tom BradyTB,,QB,17,490,733,66.8,"4,694",6.4,276.1,63,25,9,22,160,52.5,90.7,
4,Kirk CousinsMIN,,QB,17,424,643,65.9,"4,547",7.1,267.5,66,29,14,46,329,49.9,92.5,
5,Joe BurrowCIN,,QB,16,414,606,68.3,"4,475",7.4,279.7,60,35,12,41,259,58.7,100.8,
6,Jared GoffDET,,QB,17,382,587,65.1,"4,438",7.6,261.1,81,29,7,23,156,61.1,99.3,
7,Josh AllenBUF,,QB,16,359,567,63.3,"4,283",7.6,267.7,98,35,14,33,162,71.4,96.6,
8,Geno SmithSEA,,QB,17,399,572,69.8,"4,282",7.5,251.9,54,30,11,46,348,60.8,100.9,
9,Trevor LawrenceJAX,,QB,17,387,584,66.3,"4,113",7,241.9,59,25,8,27,184,54.5,95.2,
10,Jalen HurtsPHI,,QB,15,306,460,66.5,"3,701",8,246.7,68,22,6,38,231,66.4,101.6,
11,Aaron RodgersGB,,QB,17,350,542,64.6,"3,695",6.8,217.4,58,26,12,32,258,39.3,91.1,
12,Tua TagovailoaMIA,,QB,13,259,400,64.8,"3,548",8.9,272.9,84,25,8,21,163,68.8,105.5,
13,Russell WilsonDEN,,QB,15,292,483,60.5,"3,524",7.3,234.9,67,16,11,55,368,36.7,84.4,
14,Derek CarrLV,,QB,15,305,502,60.8,"3,522",7,234.8,60,24,14,27,191,55.5,86.3,
15,Daniel JonesNYG,,QB,16,317,472,67.2,"3,205",6.8,200.3,65,15,5,44,243,60.8,92.5,
16,Davis MillsHOU,,QB,15,292,479,61,"3,118",6.5,207.9,58,17,15,31,244,33.1,78.8,
17,Matt RyanIND,,QB,12,309,461,67,"3,057",6.6,254.8,45,14,13,38,287,42.9,83.9,
18,Mac JonesNE,,QB,14,288,442,65.2,"2,997",6.8,214.1,48,14,11,34,231,36.1,84.8,
19,Andy DaltonNO,,QB,14,252,378,66.7,"2,871",7.6,205.1,64,18,9,25,189,50.7,95.2,
20,Dak PrescottDAL,,QB,12,261,394,66.2,"2,860",7.3,238.3,68,23,15,20,126,57.9,91.1,
21,Jacoby BrissettCLE,,QB,16,236,369,64,"2,608",7.1,163,55,12,6,24,160,60,88.9,
22,Ryan TannehillTEN,,QB,12,212,325,65.2,"2,536",7.8,211.3,69,13,6,33,238,49.1,94.6,
23,Jimmy GaroppoloSF,,QB,11,207,308,67.2,"2,437",7.9,221.5,57,16,4,18,100,54.3,103,
24,Kenny PickettPIT,,QB,13,245,389,63,"2,404",6.2,184.9,57,7,9,27,182,51.5,76.7,
25,Kyler MurrayARI,,QB,11,259,390,66.4,"2,368",6.1,215.3,38,14,7,25,192,51.5,87.2,
26,Lamar JacksonBAL,,QB,12,203,326,62.3,"2,242",6.9,186.8,75,17,7,26,114,59.1,91.1,
26,Justin FieldsCHI,,QB,15,192,318,60.4,"2,242",7.1,149.5,56,17,11,55,359,54,85.2,
28,Marcus MariotaATL,,QB,13,184,300,61.3,"2,219",7.4,170.7,75,15,9,28,195,55.6,88.2,
29,Baker MayfieldLAR/CAR,,QB,12,201,335,60,"2,163",6.5,180.3,75,10,8,36,217,24.5,79,CAR
30,Matthew StaffordLAR,,QB,9,206,303,68,"2,087",6.9,231.9,75,10,8,29,208,50.3,87.4,
31,Taylor HeinickeWSH,,QB,9,161,259,62.2,"1,859",7.2,206.6,61,12,6,19,141,44.4,89.6,
32,Carson WentzWSH,,QB,8,172,276,62.3,"1,755",6.4,219.4,75,11,9,26,159,32.9,80.2,
33,Zach WilsonNYJ,,QB,9,132,242,54.5,"1,688",7,187.6,79,6,7,23,175,36.5,72.8,
34,Brock PurdySF,,QB,9,114,170,67.1,"1,374",8.1,152.7,54,13,4,11,84,65.6,107.3,
35,Mitch TrubiskyPIT,,QB,7,117,180,65,"1,252",7,178.9,45,4,5,11,68,56.4,81.1,
36,Mike WhiteNYJ,,QB,4,103,175,58.9,"1,192",6.8,298,60,3,4,9,76,37,75.7,
37,Sam DarnoldCAR,,QB,6,82,140,58.6,"1,143",8.2,190.5,52,7,3,10,78,48.5,92.6,
38,Deshaun WatsonCLE,,QB,6,99,170,58.2,"1,102",6.5,183.7,46,7,5,20,106,38.3,79.1,
39,Joe FlaccoNYJ,,QB,5,110,191,57.6,"1,051",5.5,210.2,66,5,3,10,66,34.1,75.2,
39,Cooper RushDAL,,QB,9,94,162,58,"1,051",6.5,116.8,46,5,3,7,49,58.7,80,
41,Jameis WinstonNO,,QB,3,73,115,63.5,858,7.5,286,51,4,5,11,74,32.8,79.5,
42,Bailey ZappeNE,,QB,4,65,92,70.7,781,8.5,195.3,53,5,3,6,40,34.5,100.9,
43,Colt McCoyARI,,QB,4,90,132,68.2,780,5.9,195,47,1,3,13,97,37.4,76.6,
44,PJ WalkerCAR,,QB,6,63,106,59.4,731,6.9,121.8,62,3,3,7,46,23.5,78,PJ
45,Desmond RidderATL,,QB,4,73,115,63.5,708,6.2,177,40,2,0,9,33,49.8,86.4,
46,Teddy BridgewaterMIA,,QB,5,49,79,62,683,8.6,136.6,64,4,4,7,45,47.4,85.6,
47,Gardner MinshewPHI,,QB,5,44,76,57.9,663,8.7,132.6,78,3,3,6,28,39.7,83.4,
48,Tyler HuntleyBAL,,QB,6,75,112,67,658,5.9,109.7,40,2,3,7,34,41.3,77.2,
49,Jarrett StidhamLV,,QB,5,53,83,63.9,656,7.9,131.2,60,4,3,7,47,57.8,89.2,
50,Sam EhlingerIND,,QB,4,64,101,63.4,573,5.7,143.3,47,3,3,14,87,31.9,76.1,
51,Skylar ThompsonMIA,,QB,7,60,105,57.1,534,5.1,76.3,32,1,3,6,40,27.2,62.2,
52,Brett RypienDEN,,QB,4,53,88,60.2,483,5.5,120.8,45,2,4,8,47,24.3,63.8,
53,Kyle AllenHOU,,QB,2,46,78,59,416,5.3,208,39,2,4,5,41,3.4,60.6,
54,Trace McSorleyARI,,QB,6,45,83,54.2,412,5,68.7,47,0,5,3,27,10.8,42.8,
55,Joshua DobbsTEN,,QB,2,40,68,58.8,411,6,205.5,39,2,2,6,26,50.8,73.8,
56,David BloughARI,,QB,2,38,58,65.5,402,6.9,201,77,2,2,5,24,28.2,82.7,
57,John WolfordLAR,,QB,3,38,62,61.3,390,6.3,130,30,1,3,7,49,22.7,64.6,
58,Anthony BrownBAL,,QB,2,22,49,44.9,302,6.2,151,47,0,2,5,14,8.4,48.2,
59,Malik WillisTEN,,QB,8,31,61,50.8,276,4.5,34.5,48,0,3,10,49,12.4,42.8,
60,Taysom HillNO,,TE,16,13,19,68.4,240,12.6,15,68,2,0,2,14,78.3,146.3,
61,Nick FolesIND,,QB,3,25,42,59.5,224,5.3,74.7,49,0,4,8,48,7.4,34.3,
61,Nick MullensMIN,,QB,4,21,25,84,224,9,56,37,1,1,0,0,56.1,100.7,
63,Jordan LoveGB,,QB,4,14,21,66.7,195,9.3,48.8,63,1,0,0,0,82,112.2,
64,Trey LanceSF,,QB,2,15,31,48.4,194,6.3,97,44,0,1,2,9,34.9,55,
65,Trevor SiemianCHI,,QB,2,15,26,57.7,184,7.1,92,33,1,1,2,14,26.5,76.4,
66,Sam HowellWSH,,QB,1,11,19,57.9,169,8.9,169,52,1,1,3,11,46.4,83,
67,Davis WebbNYG,,QB,1,23,40,57.5,168,4.2,168,25,1,0,0,0,73.6,75.8,
68,Bryce PerkinsLAR,,QB,5,19,34,55.9,161,4.7,32.2,20,1,2,6,50,27.2,53.7,
69,Nathan PetermanCHI,,QB,3,14,25,56,139,5.6,46.3,28,1,1,1,6,39.9,68.6,
70,Jeff DriskelHOU,,QB,7,14,20,70,108,5.4,15.4,28,1,0,2,13,19.6,99.6,
71,Chris StrevelerNYJ,,QB,2,10,15,66.7,90,6,45,30,0,0,0,0,72.3,82.6,
72,Jacob EasonCAR,,QB,1,3,5,60,59,11.8,59,49,0,1,0,0,0.8,61.7,
73,Tyrod TaylorNYG,,QB,3,6,8,75,58,7.3,19.3,19,1,1,3,18,10.7,94.8,
74,Chase DanielLAC,,QB,4,8,12,66.7,52,4.3,13,13,1,0,1,1,57.9,103.5,
75,Brian HoyerNE,,QB,1,5,6,83.3,37,6.2,37,27,0,0,1,8,26.7,92.4,
76,C.J. BeathardJAX,,QB,4,7,11,63.6,35,3.2,8.8,11,0,1,1,5,21.4,30.5,
77,Christian McCaffreySF/CAR,,RB,17,1,1,100,34,34,2,34,1,0,0,0,100,158.3,CAR
77,Justin JeffersonMIN,,WR,17,2,2,100,34,17,2,23,0,0,0,0,94.8,118.8,
79,Tim BoyleCHI,,QB,1,2,8,25,33,4.1,33,17,0,2,0,0,0.5,4.7,
80,Blaine GabbertTB,,QB,1,6,8,75,29,3.6,29,13,1,0,0,0,57.9,119.3,
81,Tyler BoydCIN,,WR,16,1,1,100,23,23,1.4,23,0,0,1,12,13.2,118.8,
81,Kyle TraskTB,,QB,1,3,9,33.3,23,2.6,23,9,0,0,0,0,1.6,42.4,
83,Brandon AllenCIN,,QB,1,3,3,100,22,7.3,22,13,0,0,1,0,44.4,97.2,
84,Riley DixonLAR,,P,17,2,2,100,18,9,1.1,12,0,0,0,0,,104.2,
85,Braden MannNYJ,,P,17,1,2,50,17,8.5,1,17,0,0,0,0,0,79.2,
86,Ryan WrightMIN,,P,17,1,2,50,13,6.5,0.8,13,0,0,0,0,,70.8,
87,Josh JohnsonSF,,QB,2,1,2,50,10,5,5,10,0,0,0,0,20.4,64.6,
88,Case KeenumBUF,,QB,2,2,7,28.6,8,1.1,4,5,0,0,0,0,4.3,39.6,
89,Jack FoxDET,,P,17,1,1,100,6,6,0.4,6,0,0,0,0,,91.7,
90,Andy LeeARI,,P,17,1,1,100,4,4,0.2,4,0,0,0,0,,83.3,
90,Mack HollinsLV,,WR,17,1,1,100,4,4,0.2,4,0,0,0,0,22.1,83.3,
90,Derrick HenryTEN,,RB,16,2,2,100,4,2,0.3,3,1,0,0,0,43.2,118.8,
90,Najee HarrisPIT,,RB,17,1,1,100,4,4,0.2,4,0,0,0,0,10,83.3,
94,Braxton BerriosNYJ,,WR,17,1,1,100,2,2,0.1,2,1,0,0,0,99.5,118.8,
95,Chase ClaypoolPIT/CHI,,WR,15,1,1,100,1,1,0.1,1,1,0,0,0,100,118.8,CHI
96,Chad HenneKC,,QB,3,0,2,0,0,0,0,0,0,0,0,0,3.5,39.6,
96,Rex BurkheadHOU,,RB,16,0,1,0,0,0,0,0,0,0,0,0,2.9,39.6,
96,Davante AdamsLV,,WR,17,0,0,0,0,0,0,0,0,0,1,10,0,0,
96,Phillip DorsettHOU,,WR,15,0,1,0,0,0,0,0,0,0,0,0,2.5,39.6,
96,Amari CooperCLE,,WR,17,0,1,0,0,0,0,0,0,1,0,0,0,0,
96,Cooper KuppLAR,,WR,9,0,1,0,0,0,0,0,0,0,0,0,3,39.6,
96,Nate SudfeldDET,,QB,2,0,0,0,0,0,0,0,0,0,1,7,0.7,0,
96,Leonard FournetteTB,,RB,16,0,1,0,0,0,0,0,0,1,0,0,0,0,
96,Dalvin CookMIN,,RB,17,0,0,0,0,0,0,0,0,0,1,5,0,0,
96,Christian KirkJAX,,WR,17,0,1,0,0,0,0,0,0,0,0,0,9.9,39.6,
96,Tommy TownsendKC,,P,17,0,1,0,0,0,0,0,0,0,0,0,,39.6,
96,James Proche IIBAL,,WR,15,0,1,0,0,0,0,0,0,1,0,0,0,0,
96,Lawrence CagerNYG/NYJ,,TE,7,0,0,0,0,0,0,0,0,0,1,2,1.6,0,NYJ
96,Jamie GillanNYG,,P,17,0,0,0,0,0,0,0,0,0,1,11,,0,
96,Cedrick Wilson Jr.MIA,,WR,15,0,0,0,0,0,0,0,0,0,1,6,0.2,0,MIA
96,DeeJay DallasSEA,,RB,15,0,1,0,0,0,0,0,0,1,0,0,0,0,
96,Ja'Marr ChaseCIN,,WR,12,0,0,0,0,0,0,0,0,0,1,9,0,0,
96,Garrett WilsonNYJ,,WR,17,0,1,0,0,0,0,0,0,0,0,0,0.8,39.6,
